PUBLIC TRANSPORT,,,,,,,,,,,,,,,,,SPEED_VIOLATION,,,,,,,,,,CLINIC_BHUBANESWAR,,,,,,,,,,,,,SLUM HOUSING,,,,,,,,,,,,,CITY PROFILING,,,,,,,INFRASTRUCTURE DISTRIBUTION,,,,,,,,, POLICE STATION ,,
City Name,Population (2011),Year,Mode Share - Total Number of Trips - Walking,Mode Share - Total Number of Trips - Non-Motorized - Cycle,Mode Share - Total Number of Trips - Non-Motorized - Rickshaw,Mode Share - Total Number of Trips - Public Transport - Local Train / Metro,Mode Share - Total Number of Trips - Public Transport - Bus,Mode Share - Total Number of Trips - Public Transport - Auto,"Mode Share - Total Number of Trips - Intermediate Public Transport (shared auto, auto rickshaw, taxi etc)",Mode Share - Total Number of Trips - Private Vehicle - 2 wheeler,Mode Share - Total Number of Trips - Private Vehicle - 4 wheeler,Mode Share - Total Number of Trips - ,Name,tessellate,extrude,visibility,drawOrder,Corridor,Stretch,Latitude,Longitude,Status,name,category,type,system_of,address,e_mail_id,website,specialiti,latitude,longitude,Zone,Ward Name,Ward No.,No. Notified Slums,No. of Recognised Slums,No. of Identfied Slums,Slum Population - Total,Slum Population - Male,Slum Population - Female,Slum Population - Child (0-6),Population - SC Category,Population - ST Category,Literacy Rate (%),Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands),Ward No.,No. of Census houses,No. of Occupied Houses,No. of Residential Houses,No. of Residential cum Commercial  Houses,No. of Shops / Offices,No. of Hotels / Lodges / Guest Houses,No. of places of Worship,Others,Zone,P.S Name,location,address,phone no,Inspector-In-Charge
Bhubaneswar,NA,2015-16,NA,NA,NA,NA,165,NA,NA,NA,NA,165,Baramunda square to Khandagiri Square,-1,0,-1,0,Highway,80 KM,20.2662562,85.7918417,Mid of 100 wifi network,Radiance Hair Transplant,PRIVATE,Clinic,ALLOPATHIC,"46, N1, Block N1, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015",radiance.clinics@gmail.com,www.radiancehairclinics.com,Hair,20.28746389,85.80941111,North,NA,1,NA,NA,3,4261,NA,NA,NA,NA,NA,NA,North Zone,NA,W9,0.173219119,13.932,7.302,6.63,1.128,1.529,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,EAST,C.S Pur Police Station,CHANDRASEKHARPUR,"Near Capital Eng. College, Patia",0674-2741999,Sri Jubaraj Swain
Bhubaneswar,NA,2016-17,NA,NA,NA,NA,165,NA,NA,NA,NA,165,Vani vihar square to Rasoolgarh Square,-1,0,-1,0,Highway,80 KM,20.29567,85.84886,Mid of 100 wifi network 4 lane,Dental Implants Clinic�,PRIVATE,Clinic,ALLOPATHIC,"HIG-35, Kanan Vihar Phase-I, Patia, Chandrasekharpur, Bhubaneswar, Odisha 751031",NA,http://www.dentalimplantsclinic.in/,Dental,20.34255833,85.82370278,North,NA,2,NA,NA,5,4334,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W25,0.45483051,13.508,7.068,6.44,0.569,0.322,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,EAST,Capital Police Station,BAPUJINAGAR,"Rajpath, Near SBI Main Branch, Unit-I",0674-2533732,Sri G.S.Chakrabarty
Bhubaneswar,NA,2017-18,NA,NA,NA,NA,110,NA,NA,NA,NA,110,Jaidev vihar to CRPF squarea,-1,0,-1,0,Highway,80km,20.2933301,85.8213923,4 lane road,Pushpa Clinic Pvt. Ltd,PRIVATE,Clinic,ALLOPATHIC,"A-41, BDA Duplex Colony, Baramunda, HIG Duplex BDA Colony, RBI Colony, Baramunda, Bhubaneswar, Odisha 751003",NA,www.pushpaclinic.com,Sexologist,20.27560556,85.79496111,North,NA,3,NA,NA,5,1208,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W51,0.353059809,12.138,6.519,5.619,0.881,0.602,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,EAST,Lingaraj Police Station,OLD TOWN,"In front of Lingaraj Temple, Old Town",0674-2340475,Sri Sarat Ch. Patra 
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,sainik school to acharya Viharr,-1,0,-1,0,Sachivalay Marg,40km,20.3100088,85.8338813,3 lane,Varasha clinic,PRIVATE,Clinic,AYURVEDIC,"Plot No.M-46, Samanta Vihar, Near Nalco Traffic, Jaydev Vihar, - See more at: h, Samanta Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751013",NA,www.varashaclinic.com,Expert Sex  Consultantion,20.31517778,85.82101111,North,NA,4,NA,NA,19,4327,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W56,0.46712734,11.228,5.853,5.375,0.856,0.373,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,EAST,Commissionerate Traffic Police,ASHOKNAGAR,Near A.G.Square,0674-2530941,Sri Surendra Kumar Bal
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,kiit square to raghunathpurjali,-1,0,-1,0,Nandan Kanan Road,Rest,20.38198,85.82426,3 lane road,The Tooth Cause - Dr Anurag's Dental Clinic,PRIVATE,Clinic,ALLOPATHIC,"Ground Floor, BMRI Hospital Complex, Plot 1, BDA District Centre, Chandrasekharpur, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016",NA,WWW.thetoothcause.com,Dental,20.32177083,85.81980296,North,NA,5,NA,NA,8,4992,NA,NA,NA,NA,NA,NA,North Zone,NA,W6,0.157414544,13.547,6.757,6.79,0.46,0.554,NA,NA,12,NA,NA,NA,NA,NA,NA,3,NA,EAST,Badagada Police Station,BADAGADA,Badagada BRIT Colony,0674-2310320,Sri Biswaranjan Nayak
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,capital square to AG squareK,-1,0,-1,0,Sachivalay Marg,40km,20.2626331,85.8268965,3 lane,Dr Paul's Multispeciality Clinic,PRIVATE,Clinic,ALLOPATHIC,"77, Kharvel Nagar, Rajdhani House, (Second Floor) Janpath, Unit 3, Kharabela Nagar, Bhubaneswar, Odisha 751001",info@drpaulsonline.com,www.drpaulsonline.com/,Hair,20.27278056,85.84094722,North,NA,6,NA,NA,3,1163,NA,NA,NA,NA,NA,NA,North Zone,NA,W7,0.449115027,13.698,7.188,6.51,0.824,0.739,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,EAST,Khandagiri Police Station,KHANDAGIRI,"Khandagiri Sqr, NH-5",0674-2350100,Sri Padmanav Pradhan
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Lingraj Laser Dental Clinic,PRIVATE,Clinic,ALLOPATHIC,"Pal Heights, Nandan Kanan Rd, Jayadev Vihar, Bhubaneswar, Odisha 751013",info@lingrajlaserdentalclinic.com,www.lingrajlaserdentalclinic.com,Dental,20.29881111,85.82332778,North,NA,7,NA,NA,2,666,NA,NA,NA,NA,NA,NA,North Zone,NA,W13,0.734747634,13.287,7.002,6.285,1.243,0.959,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,EAST,Nayapalli Police Station,NAYAPALLI,"Near ISKCON Temple, NH-5,Nayapalli",0674-2556668,Sri Sarat Kumar Sahu
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Prachi Clinic,PRIVATE,Clinic,ALLOPATHIC,"N-5/43, Indradhanu Market, Near SBI ATM, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015",NA,NA,NA,20.29163889,85.81455278,North,NA,8,NA,NA,4,3364,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W27,0.651426047,12.039,6.293,5.746,0.82,0.29,NA,NA,18,NA,NA,NA,NA,NA,NA,1,NA,EAST,Laxmisagar Police Station,LAXMISAGAR-31,"Near Spl. Jail, Laxmisagar",0674-2571099,Sri Bharat Charan Sahoo
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Cosmetology Clinic,PRIVATE,Clinic,ALLOPATHIC,"626, Infront Of Indian Oil, Janpath, Sahid Nagar, Bhubaneswar, Odisha 751007",NA,NA,Skin Care Clinic,20.28579444,85.844275,North,NA,9,NA,NA,13,7409,NA,NA,NA,NA,NA,NA,North Zone,NA,W12,0.124595656,13.243,7.454,5.789,1.336,0.832,NA,NA,17,NA,NA,NA,NA,NA,NA,3,NA,EAST,Mancheswar Police Station,MANCHESWAR,Mancheswar Industrial Estate,0674-2585881,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Baramunda Eye & ENT Clinic,PRIVATE,Clinic,ALLOPATHIC,"A1, Ruchika Market, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003",NA,NA,NA,20.27788611,85.79564444,North,NA,10,NA,NA,14,5849,NA,NA,NA,NA,NA,NA,North Zone,NA,W11,0.366569057,11.834,6.235,5.599,1.076,0.919,NA,NA,25,NA,NA,NA,NA,NA,NA,3,NA,EAST,Infocity Police Station,INFOCITY,"Near Magnetics Square,Chandrasekharpur",0674-2725700,
